OBJECTID,id,name,lat,lon,_ACSTOTPOP,_ACSIPOVBAS,_ACSTOTHH,_ACSEDUCBAS,_PRE1960,_buff,_stabbr,_statename,_region,_S_P_PM25,_R_P_PM25,_N_P_PM25,_S_P_O3,_R_P_O3,_N_P_O3,_S_P_DIESEL,_R_P_DIESEL,_N_P_DIESEL,_S_P_CANCER,_R_P_CANCER,_N_P_CANCER,_S_P_RESP,_R_P_RESP,_N_P_RESP,_S_P_TRAFFIC,_R_P_TRAFFIC,_N_P_TRAFFIC,_S_P_LEAD,_R_P_LEAD,_N_P_LEAD,_S_P_NPL,_R_P_NPL,_N_P_NPL,_S_P_RMP,_R_P_RMP,_N_P_RMP,_S_P_TSDF,_R_P_TSDF,_N_P_TSDF,_S_P_NPDES,_R_P_NPDES,_N_P_NPDES,_RAW_E_PM25,_S_E_PM25_PER,_R_E_PM25_PER,_N_E_PM25_PER,_S_E_PM25,_R_E_PM25,_N_E_PM25,_RAW_E_O3,_S_E_O3_PER,_R_E_O3_PER,_N_E_O3_PER,_S_E_O3,_R_E_O3,_N_E_O3,_RAW_E_DIESEL,_S_E_DIESEL_PER,_R_E_DIESEL_PER,_N_E_DIESEL_PER,_S_E_DIESEL,_R_E_DIESEL,_N_E_DIESEL,_RAW_E_CANCER,_S_E_CANCER_PER,_R_E_CANCER_PER,_N_E_CANCER_PER,_S_E_CANCER,_R_E_CANCER,_N_E_CANCER,_RAW_E_RESP,_S_E_RESP_PER,_R_E_RESP_PER,_N_E_RESP_PER,_S_E_RESP,_R_E_RESP,_N_E_RESP,_RAW_E_TRAFFIC,_S_E_TRAFFIC_PER,_R_E_TRAFFIC_PER,_N_E_TRAFFIC_PER,_S_E_TRAFFIC,_R_E_TRAFFIC,_N_E_TRAFFIC,_RAW_E_LEAD,_S_E_LEAD_PER,_R_E_LEAD_PER,_N_E_LEAD_PER,_S_E_LEAD,_R_E_LEAD,_N_E_LEAD,_RAW_E_NPL,_S_E_NPL_PER,_R_E_NPL_PER,_N_E_NPL_PER,_S_E_NPL,_R_E_NPL,_N_E_NPL,_RAW_E_RMP,_S_E_RMP_PER,_R_E_RMP_PER,_N_E_RMP_PER,_S_E_RMP,_R_E_RMP,_N_E_RMP,_RAW_E_TSDF,_S_E_TSDF_PER,_R_E_TSDF_PER,_N_E_TSDF_PER,_S_E_TSDF,_R_E_TSDF,_N_E_TSDF,_RAW_E_NPDES,_S_E_NPDES_PER,_R_E_NPDES_PER,_N_E_NPDES_PER,_S_E_NPDES,_R_E_NPDES,_N_E_NPDES,_RAW_D_INDEX,_S_D_INDEX_PER,_R_D_INDEX_PER,_N_D_INDEX_PER,_S_D_INDEX,_R_D_INDEX,_N_D_INDEX,_RAW_D_MINOR,_S_D_MINOR_PER,_R_D_MINOR_PER,_N_D_MINOR_PER,_S_D_MINOR,_R_D_MINOR,_N_D_MINOR,_RAW_D_INCOME,_S_D_INCOME_PER,_R_D_INCOME_PER,_N_D_INCOME_PER,_S_D_INCOME,_R_D_INCOME,_N_D_INCOME,_RAW_D_LING,_S_D_LING_PER,_R_D_LING_PER,_N_D_LING_PER,_S_D_LING,_R_D_LING,_N_D_LING,_RAW_D_LESSHS,_S_D_LESSHS_PER,_R_D_LESSHS_PER,_N_D_LESSHS_PER,_S_D_LESSHS,_R_D_LESSHS,_N_D_LESSHS,_RAW_D_UNDER5,_S_D_UNDER5_PER,_R_D_UNDER5_PER,_N_D_UNDER5_PER,_S_D_UNDER5,_R_D_UNDER5,_N_D_UNDER5,_RAW_D_OVER64,_S_D_OVER64_PER,_R_D_OVER64_PER,_N_D_OVER64_PER,_S_D_OVER64,_R_D_OVER64,_N_D_OVER64
25,AK9931425,Facility AK9931425,64.06389827,-147.4786136,7191,6283,2084,3565,410,1 miles,AK,Alaska,10,N/A,N/A,N/A,N/A,N/A,N/A,84,78,62,88,82,66,90,82,67,88,82,69,92,85,74,96,95,90,86,84,70,92,87,76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.6,8.3,N/A,N/A,N/A,N/A,N/A,35.1,43,0.118,40,<50th,<50th,0.363,0.479,0.479,17,60,<50th,<50th,15,31,32,0.25,69,<50th,<50th,0.2,0.46,0.44,180,66,50,46,260,500,750,0.16,87,54,47,0.082,0.23,0.28,0.33,95,91,92,0.092,0.13,0.13,0.29,61,54,48,0.51,0.65,0.74,0.85,87,62,61,0.37,1.5,4,N/A,N/A,N/A,N/A,N/A,31,14,42%,76,81,66,32%,29%,36%,46%,69,83,64,38%,27%,39%,39%,82,69,64,25%,31%,33%,1%,61,52,49,2%,3%,4%,9%,66,59,48,8%,9%,13%,11%,80,88,88,7%,6%,6%,3%,9,4,4,10%,15%,15%
26,TX6992706,Facility TX6992706,32.57361792,-97.25097404,3259,3240,1088,2121,129,1 miles,TX,Texas,6,27,29,41,26,27,42,28,28,42,27,29,38,26,28,37,31,33,48,8,10,32,0,0,1,26,27,39,32,34,51,21,24,32,8.19,34,35,44,8.43,8.37,8.3,42.7,79,73,43,38.4,39.4,43,0.253,25,<50th,<50th,0.429,0.401,0.479,33,50,<50th,50-60th,35,36,32,0.46,65,50-60th,50-60th,0.43,0.45,0.44,11,8,12,11,470,400,750,0.099,62,57,38,0.15,0.17,0.28,1.2,99,99,98,0.085,0.081,0.13,0.25,36,41,45,0.91,0.82,0.74,0.066,11,15,11,0.83,0.75,4,0.0000089,43,43,45,0.19,9.8,14,23%,18,20,37,47%,44%,36%,13%,6,9,26,57%,51%,39%,33%,49,46,55,36%,37%,33%,1%,28,38,47,8%,6%,4%,16%,57,59,70,17%,16%,13%,8%,58,60,70,7%,7%,6%,9%,45,38,28,12%,13%,15%
27,AK3217400,Facility AK3217400,64.80588116,-148.3521359,701,663,323,526,48,1 miles,AK,Alaska,10,N/A,N/A,N/A,N/A,N/A,N/A,44,58,50,44,62,50,47,64,52,53,62,49,24,50,41,10,13,12,47,55,47,28,46,37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.6,8.3,N/A,N/A,N/A,N/A,N/A,35.1,43,0.108,38,<50th,<50th,0.363,0.479,0.479,13,53,<50th,<50th,15,31,32,0.14,47,<50th,<50th,0.2,0.46,0.44,69,50,32,29,260,500,750,0.09,76,40,36,0.082,0.23,0.28,0.3,95,90,91,0.092,0.13,0.13,0.1,43,24,17,0.51,0.65,0.74,0.3,71,45,43,0.37,1.5,4,N/A,N/A,N/A,N/A,N/A,31,14,26%,48,51,43,32%,29%,36%,18%,21,39,34,38%,27%,39%,35%,77,62,59,25%,31%,33%,0%,50,47,45,2%,3%,4%,6%,46,41,32,8%,9%,13%,5%,28,39,41,7%,6%,6%,21%,95,80,80,10%,15%,15%
28,TX4636284,Facility TX4636284,29.51897672,-99.44046887,11220,11188,3950,7780,236,1 miles,TX,Texas,6,56,63,75,55,62,73,62,69,77,56,62,75,56,62,74,74,80,81,64,65,71,96,97,97,64,70,80,69,74,77,N/A,61,74,8.21,35,36,45,8.43,8.37,8.3,37.3,41,35,19,38.4,39.4,43,0.529,69,70-80th,60-70th,0.429,0.401,0.479,32,39,<50th,50-60th,35,36,32,0.41,40,<50th,<50th,0.43,0.45,0.44,470,75,78,66,470,400,750,0.058,53,47,29,0.15,0.17,0.28,0.9,99,99,98,0.085,0.081,0.13,0.7,60,64,68,0.91,0.82,0.74,0.78,68,71,59,0.83,0.75,4,0,N/A,32,37,0.19,9.8,14,53%,59,64,76,47%,44%,36%,75%,65,72,81,57%,51%,39%,31%,46,42,52,36%,37%,33%,8%,66,74,80,8%,6%,4%,14%,51,52,64,17%,16%,13%,5%,28,30,38,7%,7%,6%,14%,70,64,55,12%,13%,15%
29,AL6913501,Facility AL6913501,32.25639507,-88.57349954,0,0,0,0,0,1 miles,AL,Alabama,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.75,8.59,8.3,N/A,N/A,N/A,N/A,41.2,40,43,N/A,N/A,N/A,N/A,0.346,0.417,0.479,N/A,N/A,N/A,N/A,43,36,32,N/A,N/A,N/A,N/A,0.65,0.52,0.44,N/A,N/A,N/A,N/A,220,350,750,N/A,N/A,N/A,N/A,0.18,0.15,0.28,N/A,N/A,N/A,N/A,0.054,0.083,0.13,N/A,N/A,N/A,N/A,0.41,0.6,0.74,N/A,N/A,N/A,N/A,0.39,0.52,4,N/A,N/A,N/A,N/A,2.5,0.45,14,N/A,N/A,N/A,N/A,36%,38%,36%,N/A,N/A,N/A,N/A,34%,38%,39%,N/A,N/A,N/A,N/A,39%,37%,33%,N/A,N/A,N/A,N/A,1%,3%,4%,N/A,N/A,N/A,N/A,15%,13%,13%,N/A,N/A,N/A,N/A,6%,6%,6%,N/A,N/A,N/A,N/A,16%,16%,15%
30,TX4942121,Facility TX4942121,30.11817927,-94.6923264,925,925,362,615,180,1 miles,TX,Texas,6,39,44,60,39,43,59,39,44,60,44,50,65,40,44,60,64,70,74,55,56,65,67,73,78,28,29,42,59,66,72,17,18,26,9.24,81,81,76,8.43,8.37,8.3,34.1,16,12,8,38.4,39.4,43,0.674,87,80-90th,80-90th,0.429,0.401,0.479,77,98,95-100th,95-100th,35,36,32,0.62,98,90-95th,80-90th,0.43,0.45,0.44,470,75,78,66,470,400,750,0.42,86,86,71,0.15,0.17,0.28,0.75,99,99,97,0.085,0.081,0.13,3.8,96,97,97,0.91,0.82,0.74,2.3,91,92,80,0.83,0.75,4,0.029,86,86,85,0.19,9.8,14,37%,40,45,60,47%,44%,36%,42%,35,43,60,57%,51%,39%,33%,49,46,55,36%,37%,33%,6%,57,67,75,8%,6%,4%,18%,61,64,75,17%,16%,13%,12%,89,89,93,7%,7%,6%,15%,72,67,57,12%,13%,15%
31,TX8863272,Facility TX8863272,32.50233104,-103.2463679,3382,3377,1270,2246,401,1 miles,TX,Texas,6,39,43,59,40,44,60,39,44,59,39,44,59,39,44,59,44,50,63,62,64,70,75,80,83,41,47,62,39,44,59,N/A,61,74,6.46,5,6,11,8.43,8.37,8.3,46.8,95,92,79,38.4,39.4,43,0.217,21,<50th,<50th,0.429,0.401,0.479,29,18,<50th,<50th,35,36,32,0.37,22,<50th,<50th,0.43,0.45,0.44,120,40,45,38,470,400,750,0.29,80,79,61,0.15,0.17,0.28,1.9,99,99,99,0.085,0.081,0.13,0.34,43,48,52,0.91,0.82,0.74,0.12,22,27,22,0.83,0.75,4,0,N/A,32,37,0.19,9.8,14,39%,42,46,62,47%,44%,36%,46%,39,47,64,57%,51%,39%,31%,46,43,53,36%,37%,33%,6%,57,67,74,8%,6%,4%,27%,74,78,87,17%,16%,13%,6%,44,46,56,7%,7%,6%,13%,66,59,49,12%,13%,15%
32,AL1572184,Facility AL1572184,33.15849304,-86.30644384,422,422,153,309,28,1 miles,AL,Alabama,4,60,57,61,60,57,60,61,56,60,60,57,61,61,58,62,64,58,60,65,65,66,87,80,76,60,56,59,62,57,60,87,93,89,10.4,79,93,92,9.75,8.59,8.3,43.6,63,65,48,41.2,40,43,0.28,47,<50th,<50th,0.346,0.417,0.479,47,73,95-100th,95-100th,43,36,32,0.74,81,95-100th,95-100th,0.65,0.52,0.44,23,31,23,17,220,350,750,0.17,62,70,48,0.18,0.15,0.28,0.64,99,98,96,0.054,0.083,0.13,0.11,33,22,17,0.41,0.6,0.74,0.14,48,40,25,0.39,0.52,4,0.075,89,94,88,2.5,0.45,14,38%,61,57,60,36%,38%,36%,43%,70,62,62,34%,38%,39%,32%,39,43,54,39%,37%,33%,0%,72,51,45,1%,3%,4%,26%,86,87,86,15%,13%,13%,6%,49,49,47,6%,6%,6%,27%,93,89,91,16%,16%,15%
33,TX9655062,Facility TX9655062,31.42726284,-102.0359427,72,72,34,53,3,1 miles,TX,Texas,6,24,26,37,18,19,30,27,27,40,22,23,30,22,24,31,16,15,27,11,15,37,2,2,7,9,9,13,4,3,10,N/A,61,74,6.43,4,6,11,8.43,8.37,8.3,46.4,94,91,76,38.4,39.4,43,0.186,16,<50th,<50th,0.429,0.401,0.479,30,24,<50th,<50th,35,36,32,0.39,29,<50th,<50th,0.43,0.45,0.44,160,47,51,43,470,400,750,0.074,57,51,33,0.15,0.17,0.28,0.28,95,95,90,0.085,0.081,0.13,0.79,63,67,70,0.91,0.82,0.74,1.6,85,86,73,0.83,0.75,4,0,N/A,32,37,0.19,9.8,14,30%,29,33,50,47%,44%,36%,39%,32,41,58,57%,51%,39%,21%,30,26,34,36%,37%,33%,0%,26,36,45,8%,6%,4%,8%,35,34,44,17%,16%,13%,8%,61,64,73,7%,7%,6%,13%,65,59,49,12%,13%,15%
34,AL7230851,Facility AL7230851,32.93341592,-85.47018936,1051,1051,336,607,69,1 miles,AL,Alabama,4,90,85,87,90,83,83,86,78,78,91,87,89,91,89,91,89,82,78,86,86,81,99,98,98,95,89,89,94,90,82,89,95,91,10.1,64,89,90,9.75,8.59,8.3,40.3,37,47,30,41.2,40,43,0.33,59,<50th,<50th,0.346,0.417,0.479,49,78,95-100th,95-100th,43,36,32,0.78,88,95-100th,95-100th,0.65,0.52,0.44,250,78,67,53,220,350,750,0.19,67,73,51,0.18,0.15,0.28,0.78,99,98,97,0.054,0.083,0.13,1.2,91,85,81,0.41,0.6,0.74,0.96,88,84,63,0.39,0.52,4,0.01,77,87,79,2.5,0.45,14,77%,93,93,93,36%,38%,36%,85%,91,89,87,34%,38%,39%,68%,91,91,92,39%,37%,33%,22%,99,96,94,1%,3%,4%,47%,99,99,97,15%,13%,13%,20%,99,99,99,6%,6%,6%,9%,17,22,26,16%,16%,15%
35,TX6365326,Facility TX6365326,32.81207881,-102.2989473,6151,6109,1998,3550,1031,1 miles,TX,Texas,6,49,56,69,56,62,74,45,51,64,50,57,70,51,56,70,53,60,68,83,85,84,98,99,98,44,51,64,40,46,60,N/A,61,74,6.13,1,3,8,8.43,8.37,8.3,46.8,95,92,79,38.4,39.4,43,0.122,5,<50th,<50th,0.429,0.401,0.479,26,10,<50th,<50th,35,36,32,0.33,13,<50th,<50th,0.43,0.45,0.44,120,39,44,37,470,400,750,0.43,87,87,72,0.15,0.17,0.28,1.5,99,99,99,0.085,0.081,0.13,0.091,7,12,13,0.91,0.82,0.74,0.02,1,1,1,0.83,0.75,4,0,N/A,32,37,0.19,9.8,14,55%,61,66,77,47%,44%,36%,67%,58,65,77,57%,51%,39%,42%,62,60,69,36%,37%,33%,11%,74,80,85,8%,6%,4%,31%,80,84,90,17%,16%,13%,8%,61,64,73,7%,7%,6%,11%,54,47,37,12%,13%,15%
36,AL822097,Facility AL822097,30.21606184,-87.55579256,0,0,0,0,0,1 miles,AL,Alabama,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.75,8.59,8.3,N/A,N/A,N/A,N/A,41.2,40,43,N/A,N/A,N/A,N/A,0.346,0.417,0.479,N/A,N/A,N/A,N/A,43,36,32,N/A,N/A,N/A,N/A,0.65,0.52,0.44,N/A,N/A,N/A,N/A,220,350,750,N/A,N/A,N/A,N/A,0.18,0.15,0.28,N/A,N/A,N/A,N/A,0.054,0.083,0.13,N/A,N/A,N/A,N/A,0.41,0.6,0.74,N/A,N/A,N/A,N/A,0.39,0.52,4,N/A,N/A,N/A,N/A,2.5,0.45,14,N/A,N/A,N/A,N/A,36%,38%,36%,N/A,N/A,N/A,N/A,34%,38%,39%,N/A,N/A,N/A,N/A,39%,37%,33%,N/A,N/A,N/A,N/A,1%,3%,4%,N/A,N/A,N/A,N/A,15%,13%,13%,N/A,N/A,N/A,N/A,6%,6%,6%,N/A,N/A,N/A,N/A,16%,16%,15%
37,TX6579581,Facility TX6579581,35.31522701,-101.4033516,704,704,269,426,100,1 miles,TX,Texas,6,32,35,50,28,31,46,35,38,54,33,36,51,33,37,52,30,31,46,8,10,32,2,2,6,35,38,54,35,38,55,N/A,61,74,6.06,1,2,7,8.43,8.37,8.3,47,95,92,81,38.4,39.4,43,0.0879,2,<50th,<50th,0.429,0.401,0.479,19,1,<50th,<50th,35,36,32,0.23,1,<50th,<50th,0.43,0.45,0.44,39,19,24,22,470,400,750,0.33,82,82,64,0.15,0.17,0.28,1.2,99,99,98,0.085,0.081,0.13,0.064,4,7,7,0.91,0.82,0.74,0.026,2,3,2,0.83,0.75,4,0,N/A,32,37,0.19,9.8,14,27%,24,27,44,47%,44%,36%,16%,9,14,32,57%,51%,39%,37%,55,53,62,36%,37%,33%,1%,32,43,52,8%,6%,4%,5%,24,22,29,17%,16%,13%,8%,58,61,70,7%,7%,6%,14%,67,61,51,12%,13%,15%
38,AL539178,Facility AL539178,31.48545223,-87.53847978,152,152,52,117,24,1 miles,AL,Alabama,4,68,64,67,67,62,65,67,61,64,70,66,70,70,67,71,68,61,62,81,80,76,97,92,91,87,80,79,81,74,70,94,97,95,8.84,18,58,66,9.75,8.59,8.3,35.3,0,18,11,41.2,40,43,0.228,34,<50th,<50th,0.346,0.417,0.479,47,71,95-100th,95-100th,43,36,32,0.76,84,95-100th,95-100th,0.65,0.52,0.44,31,35,27,19,220,350,750,0.35,85,87,66,0.18,0.15,0.28,0.79,99,98,97,0.054,0.083,0.13,1.6,95,90,86,0.41,0.6,0.74,0.62,80,77,55,0.39,0.52,4,0.29,93,96,92,2.5,0.45,14,54%,79,76,77,36%,38%,36%,82%,89,87,85,34%,38%,39%,27%,30,33,44,39%,37%,33%,0%,72,51,45,1%,3%,4%,5%,19,23,29,15%,13%,13%,1%,5,6,5,6%,6%,6%,24%,88,84,87,16%,16%,15%
39,TX4134661,Facility TX4134661,28.82331205,-97.97562642,11842,11757,3241,6975,80,1 miles,TX,Texas,6,66,73,82,67,72,81,60,67,76,65,71,82,65,70,79,62,68,73,62,63,69,98,99,98,53,60,72,60,67,72,N/A,61,74,7.91,22,23,36,8.43,8.37,8.3,36.4,31,25,15,38.4,39.4,43,0.277,29,<50th,<50th,0.429,0.401,0.479,30,25,<50th,<50th,35,36,32,0.37,23,<50th,<50th,0.43,0.45,0.44,140,44,49,41,470,400,750,0.023,40,33,19,0.15,0.17,0.28,0.85,99,99,97,0.085,0.081,0.13,0.18,25,31,35,0.91,0.82,0.74,0.25,44,48,40,0.83,0.75,4,0,N/A,32,37,0.19,9.8,14,45%,50,55,69,47%,44%,36%,72%,62,70,80,57%,51%,39%,18%,26,22,29,36%,37%,33%,3%,44,54,63,8%,6%,4%,10%,42,41,53,17%,16%,13%,8%,64,66,75,7%,7%,6%,5%,14,11,7,12%,13%,15%
40,AL7244011,Facility AL7244011,31.65951622,-86.36637304,2419,2348,795,1485,288,1 miles,AL,Alabama,4,82,76,79,82,75,76,77,69,70,83,79,82,84,81,84,78,70,68,86,86,81,75,67,67,65,59,62,65,59,61,95,97,95,8.59,8,50,58,9.75,8.59,8.3,36.2,7,26,14,41.2,40,43,0.216,30,<50th,<50th,0.346,0.417,0.479,43,50,80-90th,90-95th,43,36,32,0.71,68,95-100th,95-100th,0.65,0.52,0.44,100,58,48,35,220,350,750,0.26,77,80,58,0.18,0.15,0.28,0.015,17,22,12,0.054,0.083,0.13,0.03,1,1,1,0.41,0.6,0.74,0.019,1,0,1,0.39,0.52,4,0.094,89,94,89,2.5,0.45,14,63%,85,84,84,36%,38%,36%,69%,83,80,78,34%,38%,39%,58%,81,82,85,39%,37%,33%,0%,72,51,45,1%,3%,4%,16%,61,66,70,15%,13%,13%,11%,90,90,89,6%,6%,6%,11%,28,34,39,16%,16%,15%
41,TX820760,Facility TX820760,33.67737565,-97.20450371,2177,2165,856,1503,36,1 miles,TX,Texas,6,5,5,6,4,4,6,6,5,8,5,6,4,4,5,4,5,4,10,7,9,30,0,0,0,4,4,5,15,14,26,10,11,16,7.93,22,23,36,8.43,8.37,8.3,42,74,69,38,38.4,39.4,43,0.358,40,<50th,<50th,0.429,0.401,0.479,32,39,<50th,50-60th,35,36,32,0.45,56,<50th,50-60th,0.43,0.45,0.44,250,59,63,52,470,400,750,0.039,47,40,24,0.15,0.17,0.28,0.51,98,98,95,0.085,0.081,0.13,0.51,52,57,60,0.91,0.82,0.74,0.14,28,32,26,0.83,0.75,4,0.00068,61,62,64,0.19,9.8,14,19%,12,14,28,47%,44%,36%,15%,8,12,31,57%,51%,39%,23%,33,29,38,36%,37%,33%,1%,28,39,47,8%,6%,4%,6%,26,24,32,17%,16%,13%,7%,54,57,67,7%,7%,6%,15%,72,67,58,12%,13%,15%
42,AL5877450,Facility AL5877450,34.20228713,-87.40750665,2291,2282,819,1459,364,1 miles,AL,Alabama,4,53,49,53,54,50,54,50,48,51,53,49,52,54,49,51,33,35,43,33,27,39,47,45,51,54,51,55,36,36,45,15,9,14,10.6,86,97,94,9.75,8.59,8.3,44.4,85,72,56,41.2,40,43,0.409,71,50-60th,50-60th,0.346,0.417,0.479,46,68,90-95th,95-100th,43,36,32,0.67,48,90-95th,90-95th,0.65,0.52,0.44,200,74,62,48,220,350,750,0.35,85,87,66,0.18,0.15,0.28,0.054,71,62,45,0.054,0.083,0.13,0.093,27,17,14,0.41,0.6,0.74,0.65,81,78,56,0.39,0.52,4,0.023,82,90,84,2.5,0.45,14,32%,51,47,52,36%,38%,36%,27%,52,45,47,34%,38%,39%,36%,46,49,60,39%,37%,33%,2%,85,67,59,1%,3%,4%,17%,64,69,73,15%,13%,13%,6%,59,59,57,6%,6%,6%,15%,50,54,58,16%,16%,15%
43,TX8333830,Facility TX8333830,32.01244142,-101.1639406,2193,2172,588,1132,81,1 miles,TX,Texas,6,67,74,83,80,84,89,57,64,74,70,76,85,71,76,83,72,78,79,78,80,81,98,98,98,61,68,79,85,88,86,N/A,61,74,6.32,3,5,10,8.43,8.37,8.3,45.9,92,89,71,38.4,39.4,43,0.134,7,<50th,<50th,0.429,0.401,0.479,29,18,<50th,<50th,35,36,32,0.37,22,<50th,<50th,0.43,0.45,0.44,180,50,55,46,470,400,750,0.12,66,61,42,0.15,0.17,0.28,0.62,98,98,96,0.085,0.081,0.13,0.23,34,39,43,0.91,0.82,0.74,1.3,80,82,69,0.83,0.75,4,0,N/A,32,37,0.19,9.8,14,62%,70,74,83,47%,44%,36%,86%,76,80,87,57%,51%,39%,38%,57,54,64,36%,37%,33%,20%,86,90,93,8%,6%,4%,42%,89,92,96,17%,16%,13%,12%,88,89,92,7%,7%,6%,9%,43,36,26,12%,13%,15%
44,TX7358069,Facility TX7358069,30.10766104,-95.60091499,3389,3380,932,1764,368,1 miles,TX,Texas,6,91,94,96,87,90,93,94,96,96,97,97,99,93,95,96,96,97,96,94,95,93,99,99,99,99,99,99,99,99,97,98,98,98,9.61,85,88,83,8.43,8.37,8.3,33.6,14,9,8,38.4,39.4,43,0.676,87,80-90th,80-90th,0.429,0.401,0.479,64,97,95-100th,95-100th,35,36,32,0.53,91,80-90th,70-80th,0.43,0.45,0.44,1800,94,95,89,470,400,750,0.36,84,83,66,0.15,0.17,0.28,0.85,99,99,97,0.085,0.081,0.13,12,99,99,99,0.91,0.82,0.74,7.7,99,99,94,0.83,0.75,4,1.2,98,97,95,0.19,9.8,14,80%,90,92,95,47%,44%,36%,90%,81,85,90,57%,51%,39%,71%,91,91,94,36%,37%,33%,28%,92,94,96,8%,6%,4%,47%,93,95,97,17%,16%,13%,11%,81,83,88,7%,7%,6%,4%,11,8,5,12%,13%,15%
45,AL4069048,Facility AL4069048,31.56739347,-88.41983495,0,0,0,0,0,1 miles,AL,Alabama,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.75,8.59,8.3,N/A,N/A,N/A,N/A,41.2,40,43,N/A,N/A,N/A,N/A,0.346,0.417,0.479,N/A,N/A,N/A,N/A,43,36,32,N/A,N/A,N/A,N/A,0.65,0.52,0.44,N/A,N/A,N/A,N/A,220,350,750,N/A,N/A,N/A,N/A,0.18,0.15,0.28,N/A,N/A,N/A,N/A,0.054,0.083,0.13,N/A,N/A,N/A,N/A,0.41,0.6,0.74,N/A,N/A,N/A,N/A,0.39,0.52,4,N/A,N/A,N/A,N/A,2.5,0.45,14,N/A,N/A,N/A,N/A,36%,38%,36%,N/A,N/A,N/A,N/A,34%,38%,39%,N/A,N/A,N/A,N/A,39%,37%,33%,N/A,N/A,N/A,N/A,1%,3%,4%,N/A,N/A,N/A,N/A,15%,13%,13%,N/A,N/A,N/A,N/A,6%,6%,6%,N/A,N/A,N/A,N/A,16%,16%,15%
46,TX6877844,Facility TX6877844,31.2279106,-97.81806546,227,222,85,135,9,1 miles,TX,Texas,6,39,44,59,39,44,59,38,43,59,39,43,59,39,43,59,43,50,62,53,54,64,61,67,73,38,42,58,44,50,62,N/A,61,74,7.1,8,11,19,8.43,8.37,8.3,39,61,54,25,38.4,39.4,43,0.125,6,<50th,<50th,0.429,0.401,0.479,28,13,<50th,<50th,35,36,32,0.33,12,<50th,<50th,0.43,0.45,0.44,230,57,61,51,470,400,750,0.098,62,57,37,0.15,0.17,0.28,0.65,98,98,96,0.085,0.081,0.13,0.03,0,1,1,0.91,0.82,0.74,0.64,63,67,56,0.83,0.75,4,0,N/A,32,37,0.19,9.8,14,38%,41,46,61,47%,44%,36%,32%,25,33,52,57%,51%,39%,45%,65,64,72,36%,37%,33%,10%,70,77,83,8%,6%,4%,30%,78,82,90,17%,16%,13%,0%,3,3,4,7%,7%,6%,8%,40,33,23,12%,13%,15%
47,AL4789742,Facility AL4789742,31.11134834,-87.71605409,491,491,183,310,27,1 miles,AL,Alabama,4,66,62,66,66,62,65,66,61,63,67,63,67,67,64,68,66,60,61,69,70,69,69,63,64,62,57,60,69,62,63,95,98,95,8.45,5,45,53,9.75,8.59,8.3,35.7,3,21,12,41.2,40,43,0.222,32,<50th,<50th,0.346,0.417,0.479,41,32,80-90th,80-90th,43,36,32,0.63,36,80-90th,90-95th,0.65,0.52,0.44,29,34,26,18,220,350,750,0.13,54,63,43,0.18,0.15,0.28,0.031,51,45,28,0.054,0.083,0.13,0.044,5,3,3,0.41,0.6,0.74,0.17,53,47,30,0.39,0.52,4,0.34,93,96,93,2.5,0.45,14,44%,69,65,67,36%,38%,36%,29%,55,48,49,34%,38%,39%,58%,82,83,86,39%,37%,33%,1%,76,56,49,1%,3%,4%,18%,64,70,73,15%,13%,13%,10%,86,87,85,6%,6%,6%,17%,60,63,66,16%,16%,15%
